Geographic Location,county,state,poverty_pct,med_income
"Central Valley, NY", Orange County, NY,9.4,"$63,681"
"South Jordan, UT", Salt Lake County, UT,9.0,"$73,619"
"Mcallen, TX", Hidalgo County, TX,30.0,"$38,785"
"Managua, ",,,,"$100,075"
"Temecula, CA", Riverside County, CA,12.7,"$66,793"
"Mishawaka, IN", Saint Joseph County, IN,,"$100,075"
"Reno, NV", Washoe County, NV,10.4,"$63,636"
"El Dorado, AR", Union County, AR,19.8,"$40,322"
"Madill, OK", Marshall County, OK,13.9,"$50,064"
"Santa Clarita, CA", Los Angeles County, CA,14.2,"$67,986"
"Hilo, HI", Hawaiʻi County, HI,,"$100,075"
"Boulder, CO",Boulder County, CO,9.7,"$83,591"
"Marina Del Rey, CA", Los Angeles County, CA,14.2,"$67,986"
"Tigard, OR", Washington County, OR,4.5,"$75,799"
"Mcdonough, GA", Henry County, GA,20.0,"$36,471"
"Sebastopol, CA", Sonoma County, CA,9.9,"$81,002"
"Watsonville, CA", Santa Cruz County, CA,12.2,"$84,213"
"Aldie, VA", Loudoun County, VA,3.6,"$140,382"
"Victorville, CA", San Bernardino County, CA,14.9,"$63,310"
"Southaven, MS", DeSoto County, MS,9.0,"$68,126"
"Kent, OH", Portage County, OH,11.3,"$59,032"
"Hillside, NJ", Union County, NJ,19.8,"$40,322"
"La Habra, CA", Orange County, CA,9.4,"$63,681"
"Livonia, MI", Wayne County, MI,20.9,"$38,704"
"Sartell, MN", Stearns County, MN,12.4,"$60,843"
"Youngstown, OH", Mahoning County, OH,16.5,"$48,010"
"Canfield, OH", Mahoning County, OH,16.5,"$48,010"
"Solihull, ", Upshur County, ,19.0,"$41,213"
"Pinola, MS", Simpson County, MS,19.8,"$38,173"
"West Palm Beach, FL", Palm Beach County, FL,12.2,"$61,735"
"Monroe, WA", Snohomish County, WA,7.5,"$87,096"
"Plano, TX", Collin County, TX,6.4,"$96,936"
"Tulsa, OK", Tulsa County, OK,14.1,"$55,796"
"Norman, OK",,,,"$100,075"
"Frisco, TX", Collin County, TX,6.4,"$96,936"
"Fort Myers, FL", Lee County, FL,24.8,"$34,796"
"Round Rock, TX", Williamson County, TX,6.4,"$87,817"
"Arlington, TX", Tarrant County, TX,12.1,"$66,059"
"Liberty Hill, TX", Williamson County, TX,6.4,"$87,817"
"Mascotte, FL", Lake County, FL,36.5,"$33,709"
"College Station, TX", Brazos County, TX,23.2,"$50,113"
"Tucson, AZ", Pima County, AZ,16.2,"$53,395"
"San Angelo, TX", Tom Green County, TX,15.5,"$51,393"
"Brooklyn Park, MN", Hennepin County, MN,10.3,"$76,067"
"Topeka, KS", Shawnee County, KS,13.9,"$53,612"
"Springdale, AR", Washington County, AR,4.5,"$75,799"
"Kingston, GA", Bartow County, GA,12.2,"$57,409"
"Valdosta, GA", Lowndes County, GA,23.1,"$44,348"
"Grove, OK", Delaware County, OK,8.8,"$71,961"
"Lincoln, NE", Lancaster County, NE,12.3,"$52,814"
"Woodland, CA", Yolo County, CA,20.1,"$67,804"
"Kihei, HI", Maui County, HI,8.6,"$78,503"
"Chino Hills, CA", San Bernardino County, CA,14.9,"$63,310"
"Fitzgerald, GA", Ben Hill County, GA,26.2,"$35,020"
"Lake Alfred, FL", Polk County, FL,9.6,"$59,990"
"Reynoldsburg, OH", Franklin County, OH,13.4,"$60,483"
"Folsom, CA", Sacramento County, CA,14.3,"$69,475"
"Robbinsdale, MN", Hennepin County, MN,10.3,"$76,067"
"Carroll, IA",Carroll County, IA,15.7,"$41,517"
"Alpharetta, GA", Fulton County, GA,11.5,"$52,277"
"Statesville, NC", Iredell County, NC,9.5,"$60,044"
"Baltimore, MD",,,,"$100,075"
"Bloomfield, CT", Midland County, CT,10.1,"$80,189"
"Waterbury, CT", Monmouth County, CT,6.7,"$99,223"
"Lehi, UT", Utah County, UT,9.4,"$75,296"
"Cache, OK", Comanche County, OK,16.4,"$52,251"
"Beckley, WV", Raleigh County, WV,20.7,"$41,298"
"Mchenry, IL",McHenry County, IL,11.9,"$54,795"
"Greensboro, NC", Guilford County, NC,15.4,"$52,166"
"Cary, NC", Wake County, NC,8.4,"$80,169"
"Denver, NC", Lincoln County, NC,7.9,"$69,598"
"Pacific, MO", Franklin County, MO,13.4,"$60,483"
"Pearland, TX", Brazoria County, TX,10.1,"$74,225"
"Magnolia, TX", Montgomery County, TX,24.1,"$52,538"
"Lufkin, TX", Angelina County, TX,17.9,"$46,653"
"Putnam, OK", Dewey County, OK,25.8,"$41,942"
"Mandeville, LA", St. Tammany Parish, LA,11.8,"$67,054"
"Peachtree City, GA", Fayette County, GA,22.5,"$37,867"
"Silver Spring, MD", Montgomery County, MD,24.1,"$52,538"
"Lansdale, PA", Montgomery County, PA,24.1,"$52,538"
"Waimea, HI", Hawaiʻi County, HI,,"$100,075"
"Prospect, KY", Jefferson County, KY,8.1,"$65,831"
"Plymouth, IN", Marshall County, IN,13.9,"$50,064"
"Jamaica, NY", Queens County, NY,11.6,"$68,432"
"Darby, PA", Delaware County, PA,8.8,"$71,961"
"Auburn Hills, MI", Oakland County, MI,8.2,"$80,319"
"Saint George, UT", Washington County, UT,4.5,"$75,799"
"Bowie, MD", Prince George's County, MD,8.3,"$82,445"
"South Brunswick, NJ", Middlesex County, NJ,12.7,"$54,871"
"Hingham, MA", Plymouth County, MA,6.2,"$89,678"
"Rocklin, CA", Placer County, CA,7.1,"$89,175"
"Lachine, PQ",,,,"$100,075"
"Raleigh, NC", Wake County, NC,8.4,"$80,169"
"Lithonia, GA", DeKalb County, GA,17.4,"$47,420"
"Newton, NC", Catawba County, NC,13.0,"$53,738"
"Blythewood, SC", Richland County, SC,14.3,"$53,050"
"Milford, DE", Sussex County, DE,22.9,"$43,031"
"Bay Springs, MS", Jasper County, MS,19.2,"$47,551"
"Hampton, GA", Burlington County, GA,6.2,"$84,470"
"Orlando, FL", Orange County, FL,9.4,"$63,681"
"Smyrna, DE", Kent County, DE,13.3,"$47,625"
"Jonesboro, GA", Clayton County, GA,9.4,"$53,968"
"Hinesville, GA", Liberty County, GA,15.1,"$52,577"
"Morton, MS", Montgomery County, MS,24.1,"$52,538"
"Norcross, GA", Gwinnett County, GA,9.2,"$72,008"
