fms_city_id,city_state,county,state,poverty_pct,med_income
3398.0,"Waimea, HI", Hawaiʻi County, HI,,"$100,075"
2712.0,"Prospect, KY", Jefferson County, KY,8.1,"$65,831"
2653.0,"Plymouth, IN", Marshall County, IN,13.9,"$50,064"
1558.0,"Jamaica, NY", Queens County, NY,11.6,"$68,432"
791.0,"Darby, PA", Delaware County, PA,8.8,"$71,961"
149.0,"Auburn Hills, MI", Oakland County, MI,8.2,"$80,319"
2887.0,"Saint George, UT", Washington County, UT,4.5,"$75,799"
345.0,"Bowie, MD", Prince George's County, MD,8.3,"$82,445"
3084.0,"South Brunswick, NJ", Middlesex County, NJ,12.7,"$54,871"
1420.0,"Hingham, MA", Plymouth County, MA,6.2,"$89,678"
2831.0,"Rocklin, CA", Placer County, CA,7.1,"$89,175"
1705.0,"Lachine, PQ",,,,"$100,075"
1863.0,"Lithonia, GA", DeKalb County, GA,17.4,"$47,420"
2353.0,"Newton, NC", Catawba County, NC,13.0,"$53,738"
318.0,"Blythewood, SC", Richland County, SC,14.3,"$53,050"
2137.0,"Milford, DE", Sussex County, DE,22.9,"$43,031"
214.0,"Bay Springs, MS", Jasper County, MS,19.2,"$47,551"
1325.0,"Hampton, GA", Burlington County, GA,6.2,"$84,470"
3063.0,"Smyrna, DE", Kent County, DE,13.3,"$47,625"
1592.0,"Jonesboro, GA", Clayton County, GA,9.4,"$53,968"
1419.0,"Hinesville, GA", Liberty County, GA,15.1,"$52,577"
