fms_id,espn_id,fms_college_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches
2871,3120980.0,251,Keelan Doss,Keelan,Doss,WR,WR,O,UC Davis,2019,,,,,,Lubbock,TX        ,USA,211,74
2879,,237,Keenen Brown,Keenen,Brown,TE,TE,O,Texas State,2019,,,,,,,,,250,74
2880,3124537.0,77,Keesean Johnson,Keesean,Johnson,WR,WR,O,Fresno State,2019,,,,,,Palo Alto,CA        ,USA,201,73
2917,,160,Kelvin Harmon,Kelvin,Harmon,WR,WR,O,North Carolina St.,2019,,,,,,,,,221,74
2930,3128743.0,180,Ken Webster,Ken,Webster,CB,DB,D,Ole Miss,2019,,,,,,Decatur,GA        ,USA,203,71
2932,3122103.0,136,Kendall Blanton,Kendall,Blanton,TE,TE,O,Missouri,2019,,,,,,Blue Springs,MO        ,USA,262,78
2935,3122843.0,48,Kendall Joseph,Kendall,Joseph,OLB,LB,D,Clemson,2019,,,,,,Belton,SC        ,USA,233,72
2938,3925358.0,176,Kendall Sheffield,Kendall,Sheffield,CB,DB,D,Ohio State,2019,,,,,,Missouri City,TX        ,USA,193,71
3008,3929641.0,184,Kevin Givens,Kevin,Givens,DL,DL,D,Penn State,2019,,,,,,Altoona,PA        ,USA,285,73
3050,3929835.0,129,Khari Willis,Khari,Willis,S,DB,D,Michigan State,2019,,,,,,Jackson,MI        ,USA,213,71
3057,3917340.0,232,Kingsley Keke,Kingsley,Keke,DL,DL,D,Texas A&M,2019,,,,,,Richmond,TX        ,USA,288,75
3079,3929845.0,230,Kris Boyd,Kris,Boyd,CB,DB,D,Texas,2019,,,,,,Gilmer,TX        ,USA,201,71
3103,3915776.0,293,Kyle Shurmur,Kyle,Shurmur,QB,QB,O,Vanderbilt,2019,,,,,,Philadelphia,PA        ,USA,230,76
3110,,177,Kyler Murray,Kyler,Murray,QB,QB,O,Oklahoma,2019,,,,,,,,,207,70
3115,3116449.0,224,L.J. Collier,L.J.,Collier,DL,DL,D,TCU,2019,,,,,,Munday,TX        ,USA,283,74
3141,3128707.0,80,Lamont Gaillard,Lamont,Gaillard,OT,OL,O,Georgia,2019,,,,,,Fayetteville,NC        ,USA,305,75
3235,4039057.0,230,Lil'Jordan Humphrey,Lil'Jordan,Humphrey,WR,WR,O,Texas,2019,,,,,,Southlake,TX        ,USA,210,76
3242,3929828.0,129,Lj Scott,Lj,Scott,RB,RB,O,Michigan State,2019,,,,,,Youngstown,OH        ,USA,227,72
3249,4035055.0,109,Lonnie Johnson,Lonnie,Johnson,CB,DB,D,Kentucky,2019,,,,,,Cincinnati,OH        ,USA,213,74
3268,3915291.0,26,Lukas Denis,Lukas,Denis,S,DB,D,Boston College,2019,,,,,,Everett,MA        ,USA,190,71
