fms_id,forty,vertical,bench,broad,threecone,shuttle,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,max_madden
1278,4.76,,,,,,38,2,1,1,32,39,1,1,28,24.0,1,10.5,3,67,105,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1280,4.78,25.0,17.0,110.0,6.86,4.36,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,783,64,2,0,-9,66,7,774,4,
1286,4.33,33.0,,128.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,38,2,365,46,785,41,4590,831,43,4955,3,0,0,0,0,0,0,0,0,0,0,0,91.0
1362,4.53,38.0,16.0,123.0,6.88,4.15,55,1,0,0,0,36,3,0,47,6.0,4,0.0,3,95,150,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
1379,4.64,31.5,12.0,118.0,6.97,4.27,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,3610,293,1,0,6,294,41,3616,3,78.0
1386,4.61,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,1654,132,0,0,10,132,7,1664,4,
1407,4.59,32.0,13.0,114.0,,,21,0,0,0,0,43,15,3,145,9.0,0,0.0,4,120,141,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1415,5.09,25.5,28.0,100.0,,,56,1,0,0,0,34,2,0,3,16.5,1,4.0,3,43,99,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
1473,4.58,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,695,235.2,444,40,21,38,5129,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
1475,4.59,30.5,15.0,112.0,7.25,4.41,76,2,0,0,0,38,4,1,135,17.0,6,2.0,3,175,251,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1497,4.83,29.0,24.0,115.0,6.8,4.19,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,1009,98,0,0,0,98,10,1009,4,
1519,4.84,28.5,31.0,113.0,7.27,4.36,30,2,1,0,9,36,0,0,0,31.5,6,20.5,3,60,90,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
1418,4.35,,,120.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,22,2423,162,24,1,199,186,23,2622,3,91.0
1556,5.3,21.0,25.0,95.0,8.38,5.03,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1564,4.41,28.0,,126.0,7.15,4.26,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,1350,85,27,0,177,112,9,1527,2,74.0
1579,4.33,29.5,,122.0,6.81,4.38,0,0,0,0,0,45,7,0,45,0.0,0,0.0,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
1605,4.68,34.0,23.0,117.0,7.08,4.34,59,1,2,1,53,37,4,1,57,6.5,8,1.0,3,128,187,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0
1627,4.43,,16.0,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19,3289,210,0,0,0,210,19,3289,4,78.0
1647,5.06,27.5,24.0,105.0,7.52,4.73,26,2,0,0,0,23,0,0,0,21.5,1,14.5,2,46,72,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1648,4.49,,,119.0,6.88,4.24,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,3548,292,61,6,421,353,27,3969,4,
1664,4.84,28.0,31.0,105.0,7.73,4.55,69,0,0,0,0,37,1,0,12,17.5,1,9.5,3,58,127,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0
1672,5.33,23.0,21.0,108.0,7.47,4.53,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1680,5.07,27.5,24.0,105.0,7.58,4.52,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0
1691,4.71,,27.0,,,,107,2,0,0,0,34,1,0,0,12.5,1,4.0,3,158,265,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1694,4.53,38.0,26.0,131.0,6.88,4.14,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16,1882,142,0,1,0,142,17,1882,4,85.0
1710,4.54,33.5,16.0,116.0,7.31,4.38,39,0,0,0,0,25,13,1,147,0.5,0,0.0,2,53,92,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0
1719,4.48,26.0,15.0,110.0,7.15,4.22,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,2852,236,20,0,44,256,20,2896,3,77.0
1724,4.59,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,20,1943,160,12,2,61,172,22,2004,4,78.0
