espn_id,full_name,first_name,last_name,position,position_group,section,college,home_city,home_state,home_country
4241581,Kyle Adams,Kyle,Adams,LB,LB,D,Nevada,Ladera Ranch,CA        ,USA
4241567,Seth Kootsouradis,Seth,Kootsouradis,P,P,ST,Louisiana,Crestview,FL        ,USA
4241566,Chase Rogers,Chase,Rogers,TE,TE,O,Louisiana,Bay Saint Louis,MS        ,USA
4241564,David Hudson,David,Hudson,OL,OL,O,Louisiana,Lafayette,LA        ,USA
4241563,Carlos Rubio,Carlos,Rubio,OL,OL,O,Louisiana,Alexandria,LA        ,USA
4241562,Spencer Gardner,Spencer,Gardner,OL,OL,O,Louisiana,Opelousas,LA        ,USA
4241559,Earnest Patterson,Earnest,Patterson,WR,WR,O,Louisiana,Brenham,TX        ,USA
4241558,Julius Perkins,Julius,Perkins,LB,LB,D,Louisiana,Houston,TX        ,USA
4241557,Kadon Harrison,Kadon,Harrison,WR,WR,O,Louisiana,Port Arthur,TX        ,USA
4241556,Levi Lewis,Levi,Lewis,QB,QB,O,Louisiana,Baton Rouge,LA        ,USA
4241555,Elijah Mitchell,Elijah,Mitchell,RB,RB,O,Louisiana,Erath,LA        ,USA
4241554,Bennie Higgins,Bennie,Higgins,DE,DL,D,Louisiana,Greenwood,MS        ,USA
4241553,Andre Nunez,Andre,Nunez,QB,QB,O,Louisiana,Pacoima,CA        ,USA
4241484,Daniel Wright,Daniel,Wright,DB,DB,D,Alabama,Fort Lauderdale,FL        ,USA
4241483,Taylor Wilson,Taylor,Wilson,DL,DL,D,Alabama,Huntington Beach,CA        ,USA
4241482,Jedrick Wills Jr.,Jedrick,Wills Jr.,OL,OL,O,Alabama,Lexington,KY        ,USA
4241481,Chadarius Townsend,Chadarius,Townsend,WR,WR,O,Alabama,Tanner,AL        ,USA
4241480,Major Tennison,Major,Tennison,TE,TE,O,Alabama,Flint,TX        ,USA
4241479,Tua Tagovailoa,Tua,Tagovailoa,QB,QB,O,Alabama,Ewa Beach,HI        ,USA
4241478,DeVonta Smith,DeVonta,Smith,WR,WR,O,Alabama,Amite,LA        ,USA
4241476,Tyrell Shavers,Tyrell,Shavers,WR,WR,O,Alabama,Lewisville,TX        ,USA
4241475,Henry Ruggs III,Henry,Ruggs III,WR,WR,O,Alabama,Montgomery,AL        ,USA
4241474,Brian Robinson Jr.,Brian,Robinson Jr.,RB,RB,O,Alabama,Tuscaloosa,AL        ,USA
4241473,LaBryan Ray,LaBryan,Ray,DL,DL,D,Alabama,Madison,AL        ,USA
4241472,Kendall Randolph,Kendall,Randolph,OL,OL,O,Alabama,Madison,AL        ,USA
4241471,Dylan Moses,Dylan,Moses,LB,LB,D,Alabama,Baton Rouge,LA        ,USA
4241470,Xavier McKinney,Xavier,McKinney,DB,DB,D,Alabama,Roswell,GA        ,USA
4241469,Kyriq McDonald,Kyriq,McDonald,S,DB,D,Alabama,Huntsville,AL        ,USA
4241468,Phidarian Mathis,Phidarian,Mathis,DL,DL,D,Alabama,Wisner,LA        ,USA
4241466,Alex Leatherwood,Alex,Leatherwood,OL,OL,O,Alabama,Pensacola,FL        ,USA
4241464,Mac Jones,Mac,Jones,QB,QB,O,Alabama,Jacksonville,FL        ,USA
4241463,Jerry Jeudy,Jerry,Jeudy,WR,WR,O,Alabama,Deerfield Beach,FL        ,USA
4241462,Kedrick James,Kedrick,James,TE,TE,O,SMU,Waco,TX        ,USA
4241460,Chris Herring,Chris,Herring,DB,DB,D,Florida Atlantic,Tampa,FL        ,USA
4241459,Mac Hereford,Mac,Hereford,WR,WR,O,Alabama,Birmingham,AL        ,USA
4241457,Najee Harris,Najee,Harris,RB,RB,O,Alabama,Antioch,CA        ,USA
