Geographic Location,county,state,poverty_pct,med_income
"Carroll, IA",Carroll County, IA,15.7,"$69,212"
"Alpharetta, GA", Fulton County, GA,11.5,"$69,212"
"Statesville, NC", Iredell County, NC,9.5,"$69,212"
"Baltimore, MD",,,,"$69,212"
"Bloomfield, CT", Midland County, CT,10.1,"$69,212"
"Waterbury, CT", Monmouth County, CT,6.7,"$69,212"
"Lehi, UT", Utah County, UT,9.4,"$69,212"
"Cache, OK", Comanche County, OK,16.4,"$69,212"
"Beckley, WV", Raleigh County, WV,20.7,"$69,212"
"Mchenry, IL",McHenry County, IL,11.9,"$69,212"
"Greensboro, NC", Guilford County, NC,15.4,"$69,212"
"Cary, NC", Wake County, NC,8.4,"$69,212"
"Denver, NC", Lincoln County, NC,7.9,"$69,212"
"Pacific, MO", Franklin County, MO,13.4,"$69,212"
"Pearland, TX", Brazoria County, TX,10.1,"$69,212"
"Magnolia, TX", Montgomery County, TX,24.1,"$69,212"
"Lufkin, TX", Angelina County, TX,17.9,"$69,212"
"Putnam, OK", Dewey County, OK,25.8,"$69,212"
"Mandeville, LA", St. Tammany Parish, LA,11.8,"$69,212"
"Peachtree City, GA", Fayette County, GA,22.5,"$69,212"
"Silver Spring, MD", Montgomery County, MD,24.1,"$69,212"
"Lansdale, PA", Montgomery County, PA,24.1,"$69,212"
"Waimea, HI", Hawaiʻi County, HI,,"$69,212"
"Prospect, KY", Jefferson County, KY,8.1,"$69,212"
"Plymouth, IN", Marshall County, IN,13.9,"$69,212"
"Jamaica, NY", Queens County, NY,11.6,"$69,212"
"Darby, PA", Delaware County, PA,8.8,"$69,212"
"Auburn Hills, MI", Oakland County, MI,8.2,"$69,212"
"Saint George, UT", Washington County, UT,4.5,"$69,212"
"Bowie, MD", Prince George's County, MD,8.3,"$69,212"
"South Brunswick, NJ", Middlesex County, NJ,12.7,"$69,212"
"Hingham, MA", Plymouth County, MA,6.2,"$69,212"
"Rocklin, CA", Placer County, CA,7.1,"$69,212"
"Lachine, PQ",,,,"$69,212"
"Raleigh, NC", Wake County, NC,8.4,"$69,212"
"Lithonia, GA", DeKalb County, GA,17.4,"$69,212"
"Newton, NC", Catawba County, NC,13.0,"$69,212"
"Blythewood, SC", Richland County, SC,14.3,"$69,212"
"Milford, DE", Sussex County, DE,22.9,"$69,212"
"Bay Springs, MS", Jasper County, MS,19.2,"$69,212"
"Hampton, GA", Burlington County, GA,6.2,"$69,212"
"Orlando, FL", Orange County, FL,9.4,"$69,212"
"Smyrna, DE", Kent County, DE,13.3,"$69,212"
"Jonesboro, GA", Clayton County, GA,9.4,"$69,212"
"Hinesville, GA", Liberty County, GA,15.1,"$69,212"
"Morton, MS", Montgomery County, MS,24.1,"$69,212"
"Norcross, GA", Gwinnett County, GA,9.2,"$69,212"
