year,player,pos,college,weight,height_inches,forty,vertical,bench,broad,threecone,shuttle
2019,Nick Bosa,DL,Ohio St.,266,76,4.79,33.5,29,116,7.1,4.14
2019,Nick Brossette,RB,LSU,209,71,4.72,35.5,15,118,7.38,4.44
2019,Nick Fitzgerald,QB,Mississippi St.,226,77,4.64,29.5,NA,115,NA,NA
2019,Nkeal Harry,WR,Arizona State,228,74,4.53,38.5,27,122,NA,NA
2019,Noah Fant,TE,Iowa,249,76,4.5,39.5,20,127,6.81,4.22
2019,Nyqwan Murray,WR,Florida St.,191,70,4.63,34,8,113,7.2,4.4
2019,Oshane Ximines,DE,Old Dominion,253,75,4.78,34,24,118,7.13,4.57
2019,Otaro Alaka,OLB,Texas A&M,239,75,4.82,36,20,131,NA,NA
2019,Parris Campbell,WR,Ohio St.,205,72,4.31,40,11,135,NA,4.03
2019,Phil Haynes,OT,Wake Forest,322,76,5.2,31,33,108,7.76,4.95
2019,Porter Gustin,DE,USC,255,76,4.69,35.5,31,119,NA,NA
2019,Qadree Ollison,RB,Pittsburgh,228,73,4.58,29.5,19,114,7.53,4.31
2019,Quinnen Williams,DL,Alabama,303,75,4.83,30.5,NA,112,NA,NA
2019,Rashad Fenton,CB,South Carolina,193,71,4.52,34,12,117,NA,4.25
2019,Rashan Gary,DL,Michigan,277,76,4.58,38,26,120,7.26,4.29
2019,Renell Wren,DL,Arizona State,318,77,5.01,32,30,118,7.65,4.53
2019,Riley Ridley,WR,Georgia,199,73,4.58,30.5,13,124,7.22,4.28
2019,Rock Ya-Sin,CB,Temple,192,72,4.51,39.5,18,120,7.31,4.31
2019,Rodney Anderson,RB,Oklahoma,224,72,NA,NA,25,NA,NA,NA
2019,Ross Pierschbacher,OT,Alabama,307,76,5.2,22.5,20,NA,7.83,4.7
2019,Ryan Bates,OT,Penn St.,306,76,5.09,27,28,102,7.45,4.53
2019,Ryan Connelly,OLB,Wisconsin,242,74,4.66,34.5,NA,118,7.09,4.31
2019,Ryan Davis,WR,Auburn,189,70,NA,35,12,124,7.09,4.23
2019,Ryan Finley,QB,North Carolina St.,213,76,4.73,30.5,NA,116,7.2,4.2
2019,Ryan Pope,OT,San Diego St.,320,79,NA,NA,25,NA,NA,NA
2019,Ryan Pulley,CB,Arkansas,209,71,4.61,31,11,111,NA,NA
2019,Ryquell Armstead,RB,Temple,220,71,4.45,30,22,114,7.02,4.29
2019,Saivion Smith,CB,Alabama,199,73,NA,33,11,121,7.09,4.37
2019,Saquan Hampton,S,Rutgers,206,73,4.48,NA,14,125,NA,NA
2019,Sean Bunting,CB,Central Michigan,195,72,4.42,41.5,14,126,NA,NA
2019,Shareef Miller,DE,Penn St.,254,76,4.69,29.5,16,NA,NA,4.45
2019,Sheldrick Redwine,S,Miami,196,72,4.44,39,NA,130,NA,4.14
2019,Sione Takitaki,OLB,BYU,238,73,4.63,37,24,125,7.21,4.28
2019,Stanley Morgan,WR,Nebraska,202,72,4.53,38.5,14,125,6.78,4.13
2019,Sutton Smith,DE,Northern Illinois,233,72,4.69,31.5,25,118,6.75,4.32
2019,T.J. Edwards,OLB,Wisconsin,230,72,NA,NA,16,NA,NA,NA
2019,T.J. Hockenson,TE,Iowa,251,77,4.7,37.5,17,123,7.02,4.18
2019,Taylor Rapp,S,Washington,208,72,NA,35,17,115,6.82,3.99
2019,Te'von Coney,OLB,Notre Dame,234,73,NA,NA,NA,NA,NA,NA
2019,Terez Hall,OLB,Missouri,230,73,NA,NA,20,NA,NA,NA
2019,Terrill Hanks,OLB,New Mexico St.,242,74,4.98,35.5,21,118,NA,NA
2019,Terry Beckner,DL,Missouri,296,76,5.19,24.5,28,98,7.97,4.82
2019,Terry Godwin,WR,Georgia,184,71,4.55,36.5,NA,117,6.96,NA
2019,Terry McLaurin,WR,Ohio St.,208,72,4.35,37.5,18,125,7.01,4.15
2019,Tommy Sweeney,TE,Boston College,251,76,4.83,NA,17,NA,NA,NA
2019,Tony Pollard,RB,Memphis,210,72,4.52,35,13,121,NA,NA
2019,Trace McSorley,QB,Penn St.,202,72,4.57,33,NA,115,7.09,4.12
2019,Travis Fulgham,WR,Old Dominion,215,74,4.58,36.5,15,126,NA,NA
2019,Travis Homer,RB,Miami,201,70,4.48,39.5,17,130,7.07,4.31
2019,Trayveon Williams,RB,Texas A&M,206,68,4.51,33,19,121,7.44,4.44
2019,Trayvon Mullen,CB,Clemson,199,73,4.46,34.5,NA,123,NA,NA
2019,Tre Lamar,OLB,Clemson,253,75,NA,NA,NA,NA,NA,NA
2019,Trevon Tate,OT,Memphis,293,74,NA,NA,22,NA,NA,NA
2019,Trevon Wesco,TE,West Virginia,267,75,4.89,31,24,117,7.18,4.38
2019,Trysten Hill,DL,Central Florida,308,75,5.04,35,28,115,7.7,4.38
2019,Ty Summers,OLB,TCU,241,73,4.51,36,27,123,NA,NA
2019,Tyler Jones,OT,North Carolina St.,306,75,NA,31.5,23,111,7.75,4.82
2019,Tyler Roemer,OT,San Diego St.,312,78,5.21,30.5,18,108,7.75,4.76
2019,Tyre Brady,WR,Marshall,211,75,NA,32,12,117,NA,4.25
2019,Tyree Jackson,QB,Buffalo,249,79,4.59,34.5,NA,120,7.09,4.28
2019,Tyrel Dodson,OLB,Texas A&M,237,72,4.6,NA,24,118,NA,NA
2019,Ugo Amadi,S,Oregon,199,69,4.51,32.5,18,115,7.21,4.19
2019,Vosean Joseph,OLB,Florida,230,73,NA,NA,NA,NA,NA,NA
2019,Will Grier,QB,West Virginia,217,74,4.84,34,NA,112,7.09,4.28
2019,Will Harris,S,Boston College,207,73,4.41,36.5,20,123,6.91,4.12
2019,William Sweet,OT,North Carolina,313,78,5.27,30.5,23,111,8.01,5
2019,Wyatt Ray,DE,Boston College,257,75,4.83,34,25,118,7.34,4.31
2019,Xavier Crawford,CB,Central Michigan,187,71,4.48,37.5,11,NA,NA,NA
2019,Yodny Cajuste,OT,West Virginia,312,77,NA,NA,32,NA,NA,NA
2019,Yosh Nijman,OT,Virginia Tech,324,79,NA,NA,27,114,8.07,4.5
2019,Zach Allen,DL,Boston College,281,76,5,32,24,112,7.34,4.36
2019,Zach Gentry,TE,Michigan,265,80,4.9,29.5,12,110,7.4,4.53
2019,Zack Bailey,OT,South Carolina,299,77,NA,28,24,103,NA,NA
2019,Zedrick Woods,S,Mississippi,205,71,4.29,34.5,19,122,7,4.15
2018,Ade Aruna,DE,Tulane,262,78,4.6,38.5,18,128,7.53,4.48
2018,Akrum Wadley,RB,Iowa,194,70,4.54,32,12,NA,NA,NA
2018,Allen Lazard,WR,Iowa St.,227,77,4.55,38,17,122,NA,NA
2018,Andre Chachere,CB,San Jose St.,200,72,4.49,38,13,123,6.78,4.07
2018,Andre Smith,ILB,North Carolina,237,72,4.63,NA,19,NA,NA,NA
2018,Andrew Brown,DE,Virginia,296,76,5.03,28,31,101,7.51,4.48
2018,Anthony Averett,CB,Alabama,185,72,4.36,31.5,13,119,6.93,4.4
2018,Anthony Miller,WR,Memphis,201,71,NA,NA,22,NA,NA,NA
2018,Anthony Winbush,DE,Ball St.,249,73,NA,NA,25,110,NA,NA
2018,Antonio Callaway,WR,Florida,200,71,4.41,34,NA,121,NA,NA
2018,Arden Key,DE,LSU,238,78,NA,31,NA,117,7.16,4.25
2018,Armani Watts,S,Texas A&M,205,71,NA,35,13,120,7.25,4.37
2018,Auden Tate,WR,Florida St.,228,77,4.68,31,NA,112,NA,NA
2018,Austin Allen,QB,Arkansas,210,72,4.81,29.5,NA,112,7.18,4.48
2018,Austin Corbett,OG,Nevada,306,76,5.15,28,19,106,7.87,4.5
2018,Avonte Maddox,CB,Pittsburgh,180,69,4.39,37,13,125,6.51,4
2018,Azeem Victor,ILB,Washington,240,73,4.72,32.5,19,115,7.2,4.4
