College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
Idaho State,"Pocatello, ID",42.8688613,-112.4401098,13.59,2.9,17.8,20.9,28.9,36.1,44.2,51.1,58.3,56.5,47.9,37.6,27.2,19.0,33.7,39.7,51.2,59.9,69.6,79.0,88.5,87.9,78.0,62.8,45.5,35.0
Illinois,"Champaign, IL",40.1164205,-88.2433829,41.02,2.32,15.9,20.5,30.0,39.8,50.6,59.8,62.8,60.5,51.9,41.1,32.1,21.2,32.7,37.6,50.4,63.2,73.2,82.3,84.0,82.4,77.3,65.1,50.5,37.1
Illinois State,"Normal, IL",40.5117699,-88.9944815,39.57,1.03,14.8,18.3,27.1,37.8,49.1,59.9,63.3,61.0,52.5,41.2,30.8,19.2,32.9,37.6,49.4,62.3,73.1,82.8,85.4,84.0,77.7,65.0,50.2,36.3
Indiana,"Bloomington, IN",39.1670396,-86.5342881,47.43,1.34,20.4,23.3,31.5,42.3,52.2,61.6,65.2,63.5,55.4,44.0,35.1,24.1,37.3,42.2,52.7,64.4,73.7,82.0,85.4,84.9,78.3,66.4,54.0,40.6
Indiana (PA),"Indiana, PA",40.6424116,-79.1262839,44.84,4.25,17.1,18.2,25.2,34.3,44.9,53.8,58.2,57.5,50.1,39.4,30.3,22.1,36.2,39.8,49.7,61.9,71.2,79.0,82.4,81.2,74.3,63.5,52.1,40.2
Iowa,"Iowa City, IA",41.6612561,-91.5299106,37.59,3.15,14.3,18.3,29.1,40.2,50.9,61.3,65.0,62.8,52.5,41.1,30.2,17.5,30.0,34.3,48.2,61.7,71.9,81.6,84.6,82.6,75.9,62.9,47.7,33.0
Iowa St.,"Ames, IA",42.0267703,-93.6170554,34.67,2.39,32.3,34.0,37.0,39.6,44.9,50.9,56.2,54.8,50.1,42.4,36.1,32.1,54.4,57.6,61.0,66.6,75.7,85.0,92.4,91.6,85.2,75.2,61.7,54.4
Iowa State,"Ames, IA",42.0267703,-93.6170554,34.67,2.39,32.3,34.0,37.0,39.6,44.9,50.9,56.2,54.8,50.1,42.4,36.1,32.1,54.4,57.6,61.0,66.6,75.7,85.0,92.4,91.6,85.2,75.2,61.7,54.4
Jackson State,"Jacksonville, AL",33.8269995,-85.78319335989826,54.59,0.1,29.5,32.6,39.1,45.7,55.4,63.4,67.4,66.7,59.8,47.7,38.8,31.7,52.4,56.6,65.3,72.9,79.5,85.9,88.8,88.4,83.1,74.0,64.2,54.5
Jacksonville St.,"Jacksonville, AL",33.8269995,-85.78319335989826,54.59,0.1,29.5,32.6,39.1,45.7,55.4,63.4,67.4,66.7,59.8,47.7,38.8,31.7,52.4,56.6,65.3,72.9,79.5,85.9,88.8,88.4,83.1,74.0,64.2,54.5
Jacksonville State,"Jacksonville, AL",33.8269995,-85.78319335989826,54.59,0.1,29.5,32.6,39.1,45.7,55.4,63.4,67.4,66.7,59.8,47.7,38.8,31.7,52.4,56.6,65.3,72.9,79.5,85.9,88.8,88.4,83.1,74.0,64.2,54.5
