pick,team,year,player,pos,college,weight,height_inches
NA,NA,2019,Rodney Anderson,RB,Oklahoma,224,72
NA,NA,2019,Ross Pierschbacher,OT,Alabama,307,76
NA,NA,2019,Ryan Bates,OT,Penn St.,306,76
NA,NA,2019,Ryan Connelly,OLB,Wisconsin,242,74
NA,NA,2019,Ryan Davis,WR,Auburn,189,70
NA,NA,2019,Ryan Finley,QB,North Carolina St.,213,76
NA,NA,2019,Ryan Pope,OT,San Diego St.,320,79
NA,NA,2019,Ryan Pulley,CB,Arkansas,209,71
NA,NA,2019,Ryquell Armstead,RB,Temple,220,71
NA,NA,2019,Saivion Smith,CB,Alabama,199,73
NA,NA,2019,Saquan Hampton,S,Rutgers,206,73
NA,NA,2019,Sean Bunting,CB,Central Michigan,195,72
NA,NA,2019,Shareef Miller,DE,Penn St.,254,76
NA,NA,2019,Sheldrick Redwine,S,Miami,196,72
NA,NA,2019,Sione Takitaki,OLB,BYU,238,73
NA,NA,2019,Stanley Morgan,WR,Nebraska,202,72
NA,NA,2019,Sutton Smith,DE,Northern Illinois,233,72
NA,NA,2019,T.J. Edwards,OLB,Wisconsin,230,72
NA,NA,2019,T.J. Hockenson,TE,Iowa,251,77
NA,NA,2019,Taylor Rapp,S,Washington,208,72
NA,NA,2019,Te'von Coney,OLB,Notre Dame,234,73
NA,NA,2019,Terez Hall,OLB,Missouri,230,73
NA,NA,2019,Terrill Hanks,OLB,New Mexico St.,242,74
NA,NA,2019,Terry Beckner,DL,Missouri,296,76
NA,NA,2019,Terry Godwin,WR,Georgia,184,71
NA,NA,2019,Terry McLaurin,WR,Ohio St.,208,72
NA,NA,2019,Tommy Sweeney,TE,Boston College,251,76
NA,NA,2019,Tony Pollard,RB,Memphis,210,72
NA,NA,2019,Trace McSorley,QB,Penn St.,202,72
NA,NA,2019,Travis Fulgham,WR,Old Dominion,215,74
NA,NA,2019,Travis Homer,RB,Miami,201,70
NA,NA,2019,Trayveon Williams,RB,Texas A&M,206,68
NA,NA,2019,Trayvon Mullen,CB,Clemson,199,73
NA,NA,2019,Tre Lamar,OLB,Clemson,253,75
NA,NA,2019,Trevon Tate,OT,Memphis,293,74
NA,NA,2019,Trevon Wesco,TE,West Virginia,267,75
NA,NA,2019,Trysten Hill,DL,Central Florida,308,75
NA,NA,2019,Ty Summers,OLB,TCU,241,73
NA,NA,2019,Tyler Jones,OT,North Carolina St.,306,75
NA,NA,2019,Tyler Roemer,OT,San Diego St.,312,78
NA,NA,2019,Tyre Brady,WR,Marshall,211,75
NA,NA,2019,Tyree Jackson,QB,Buffalo,249,79
NA,NA,2019,Tyrel Dodson,OLB,Texas A&M,237,72
NA,NA,2019,Ugo Amadi,S,Oregon,199,69
NA,NA,2019,Vosean Joseph,OLB,Florida,230,73
NA,NA,2019,Will Grier,QB,West Virginia,217,74
NA,NA,2019,Will Harris,S,Boston College,207,73
NA,NA,2019,William Sweet,OT,North Carolina,313,78
NA,NA,2019,Wyatt Ray,DE,Boston College,257,75
NA,NA,2019,Xavier Crawford,CB,Central Michigan,187,71
NA,NA,2019,Yodny Cajuste,OT,West Virginia,312,77
NA,NA,2019,Yosh Nijman,OT,Virginia Tech,324,79
NA,NA,2019,Zach Allen,DL,Boston College,281,76
NA,NA,2019,Zach Gentry,TE,Michigan,265,80
NA,NA,2019,Zack Bailey,OT,South Carolina,299,77
NA,NA,2019,Zedrick Woods,S,Mississippi,205,71
218,MIN,2018,Ade Aruna,DE,Tulane,262,78
300,NA,2018,Akrum Wadley,RB,Iowa,194,70
300,NA,2018,Allen Lazard,WR,Iowa St.,227,77
300,NA,2018,Andre Chachere,CB,San Jose St.,200,72
234,CAR,2018,Andre Smith,ILB,North Carolina,237,72
158,CIN,2018,Andrew Brown,DE,Virginia,296,76
118,BAL,2018,Anthony Averett,CB,Alabama,185,72
51,CHI,2018,Anthony Miller,WR,Memphis,201,71
300,NA,2018,Anthony Winbush,DE,Ball St.,249,73
105,CLE,2018,Antonio Callaway,WR,Florida,200,71
87,OAK,2018,Arden Key,DE,LSU,238,78
124,KAN,2018,Armani Watts,S,Texas A&M,205,71
253,CIN,2018,Auden Tate,WR,Florida St.,228,77
300,NA,2018,Austin Allen,QB,Arkansas,210,72
33,CLE,2018,Austin Corbett,OG,Nevada,306,76
125,PHI,2018,Avonte Maddox,CB,Pittsburgh,180,69
216,OAK,2018,Azeem Victor,ILB,Washington,240,73
69,NYG,2018,B.J. Hill,DT,North Carolina St.,311,76
1,CLE,2018,Baker Mayfield,QB,Oklahoma,215,73
21,CIN,2018,Billy Price,C,Ohio St.,305,76
236,DAL,2018,Bo Scarbrough,RB,Alabama,228,73
5,DEN,2018,Bradley Chubb,DE,North Carolina St.,269,76
300,NA,2018,Brandon Facyson,CB,Virginia Tech,197,74
210,NWE,2018,Braxton Berrios,WR,Miami,184,69
46,KAN,2018,Breeland Speaks,DT,Mississippi,283,75
111,LAR,2018,Brian Allen,C,Michigan St.,298,73
62,MIN,2018,Brian O'neill,OT,Pittsburgh,297,79
300,NA,2018,Byron Pringle,WR,Kansas St.,203,73
26,ATL,2018,Calvin Ridley,WR,Alabama,189,72
300,NA,2018,Cam Phillips,WR,Virginia Tech,201,72
63,TAM,2018,Carlton Davis,CB,Auburn,203,73
208,DAL,2018,Cedrick Wilson,WR,Boise St.,197,74
67,CLE,2018,Chad Thomas,DE,Miami,281,78
300,NA,2018,Chandon Sullivan,CB,Georgia State,195,71
300,NA,2018,Chase Litton,QB,Marshall,230,77
193,DAL,2018,Chris Covington,OLB,Indiana,245,74
300,NA,2018,Chris Jones,CB,Nebraska,195,72
300,NA,2018,Chris Lacy,WR,Oklahoma St.,205,75
300,NA,2018,Chris Warren,RB,Texas,247,74
300,NA,2018,Chris Worley,ILB,Ohio St.,238,74
47,ARI,2018,Christian Kirk,WR,Texas A&M,201,70
178,NWE,2018,Christian Sam,ILB,Arizona State,244,74
92,PIT,2018,Chukwuma Okorafor,OT,Western Michigan,320,78
213,MIN,2018,Colby Gossett,OG,Appalachian St.,311,77
138,GNB,2018,Cole Madison,OT,Washington St.,308,77
300,NA,2018,Coleman Shelton,C,Washington,292,75
50,DAL,2018,Connor Williams,OT,Texas,296,77
40,DEN,2018,Courtland Sutton,WR,SMU,218,75
61,JAX,2018,D.J. Chark,WR,LSU,199,75
24,CAR,2018,D.J. Moore,WR,Maryland,210,72
142,SFO,2018,D.J. Reed,CB,Kansas St.,188,69
113,DEN,2018,Daesean Hamilton,WR,Penn St.,203,73
137,DAL,2018,Dalton Schultz,TE,Stanford,244,77
300,NA,2018,Damon Webb,S,Ohio St.,195,71
152,TEN,2018,Dane Cruikshank,S,Arizona,206,73
219,NWE,2018,Danny Etling,QB,LSU,222,74
300,NA,2018,Danny Johnson,CB,Southern,185,70
44,SFO,2018,Dante Pettis,WR,Washington,186,72
300,NA,2018,Darius Jackson,DE,Jacksonville St.,242,75
170,CIN,2018,Darius Phillips,CB,Western Michigan,190,70
13,WAS,2018,Daron Payne,DT,Alabama,311,74
300,NA,2018,Darrel Williams,RB,LSU,225,72
114,DET,2018,Dashawn Hand,DE,Alabama,297,76
300,NA,2018,David Wells,TE,San Diego St.,256,78
300,NA,2018,Davin Bellamy,DE,Georgia,255,77
300,NA,2018,Davon Grayson,WR,East Carolina,199,73
90,ATL,2018,Deadrin Senat,DT,South Florida,314,72
300,NA,2018,Dee Delaney,CB,Miami,194,73
300,NA,2018,Demario Richard,RB,Arizona State,218,69
4,CLE,2018,Denzel Ward,CB,Ohio St.,191,70
185,IND,2018,Deon Cain,WR,Clemson,202,74
300,NA,2018,Deontay Burnett,WR,USC,186,72
75,KAN,2018,Derrick Nnadi,DT,Florida St.,317,73
59,WAS,2018,Derrius Guice,RB,LSU,224,70
